2023-08-06 10:38:04,828 - INFO - Adding file info: FileInfo(name='8faf48875e4e6a7b2fc0b2392e0c593e0882ca', extension='N/A', is_directory=False, parent_directory='F:\\git\\.git\\objects\\98')
2023-08-06 10:38:04,828 - INFO - Adding file info: FileInfo(name='91d4edd7169ef9c2e517678e2c98c6d814e188', extension='N/A', is_directory=False, parent_directory='F:\\git\\.git\\objects\\98')
2023-08-06 10:38:04,828 - INFO - Adding file info: FileInfo(name='147de34b2c4d36c4ab668dc6b2fc635d164d85', extension='N/A', is_directory=False, parent_directory='F:\\git\\.git\\objects\\c6')
2023-08-06 10:38:04,829 - INFO - Adding file info: FileInfo(name='ea84f91c1a798d10416541c3ab3dcbe156f0ab', extension='N/A', is_directory=False, parent_directory='F:\\git\\.git\\objects\\c8')
2023-08-06 10:38:04,829 - INFO - Adding file info: FileInfo(name='0875583aabe89ee197ea133980a9085d08e497', extension='N/A', is_directory=False, parent_directory='F:\\git\\.git\\objects\\cd')
2023-08-06 10:38:04,829 - INFO - Adding file info: FileInfo(name='a0e8374439d500595fdfd6789556808b7ff0f6', extension='N/A', is_directory=False, parent_directory='F:\\git\\.git\\objects\\cd')
2023-08-06 10:38:04,830 - INFO - Adding file info: FileInfo(name='f266eae3bac77670d3c960665d2c0932d0c1d2', extension='N/A', is_directory=False, parent_directory='F:\\git\\.git\\objects\\e5')
2023-08-06 10:38:04,830 - INFO - Adding file info: FileInfo(name='6f4031e3599b8ff0d6bffd71d225101b2e4474', extension='N/A', is_directory=False, parent_directory='F:\\git\\.git\\objects\\fb')
2023-08-06 10:38:04,830 - INFO - Adding directory info: FileInfo(name='heads', extension='', is_directory=True, parent_directory='F:\\git\\.git\\refs')
2023-08-06 10:38:04,830 - INFO - Adding directory info: FileInfo(name='tags', extension='', is_directory=True, parent_directory='F:\\git\\.git\\refs')
2023-08-06 10:38:04,831 - INFO - Adding file info: FileInfo(name='master', extension='N/A', is_directory=False, parent_directory='F:\\git\\.git\\refs\\heads')
2023-08-06 10:38:04,831 - INFO - Directory information saved to 'directory_info.txt'
2023-08-06 10:41:35,962 - INFO - Adding directory info: FileInfo(name='.git', extension='', is_directory=True, parent_directory='F:\\git')
2023-08-06 10:41:35,962 - INFO - Adding file info: FileInfo(name='hello', extension='.md', is_directory=False, parent_directory='F:\\git')
2023-08-06 10:41:35,962 - INFO - Adding directory info: FileInfo(name='hooks', extension='', is_directory=True, parent_directory='F:\\git\\.git')
2023-08-06 10:41:35,962 - INFO - Adding directory info: FileInfo(name='info', extension='', is_directory=True, parent_directory='F:\\git\\.git')
2023-08-06 10:41:35,963 - INFO - Adding directory info: FileInfo(name='logs', extension='', is_directory=True, parent_directory='F:\\git\\.git')
2023-08-06 10:41:35,963 - INFO - Adding directory info: FileInfo(name='objects', extension='', is_directory=True, parent_directory='F:\\git\\.git')
2023-08-06 10:41:35,963 - INFO - Adding directory info: FileInfo(name='refs', extension='', is_directory=True, parent_directory='F:\\git\\.git')
2023-08-06 10:41:35,963 - INFO - Adding file info: FileInfo(name='COMMIT_EDITMSG', extension='N/A', is_directory=False, parent_directory='F:\\git\\.git')
2023-08-06 10:41:35,963 - INFO - Adding file info: FileInfo(name='config', extension='N/A', is_directory=False, parent_directory='F:\\git\\.git')
2023-08-06 10:41:35,963 - INFO - Adding file info: FileInfo(name='description', extension='N/A', is_directory=False, parent_directory='F:\\git\\.git')
2023-08-06 10:41:35,963 - INFO - Adding file info: FileInfo(name='HEAD', extension='N/A', is_directory=False, parent_directory='F:\\git\\.git')
2023-08-06 10:41:35,963 - INFO - Adding file info: FileInfo(name='index', extension='N/A', is_directory=False, parent_directory='F:\\git\\.git')
2023-08-06 10:41:35,963 - INFO - Adding file info: FileInfo(name='applypatch-msg', extension='.sample', is_directory=False, parent_directory='F:\\git\\.git\\hooks')
2023-08-06 10:41:35,963 - INFO - Adding file info: FileInfo(name='commit-msg', extension='.sample', is_directory=False, parent_directory='F:\\git\\.git\\hooks')
2023-08-06 10:41:35,963 - INFO - Adding file info: FileInfo(name='fsmonitor-watchman', extension='.sample', is_directory=False, parent_directory='F:\\git\\.git\\hooks')
2023-08-06 10:41:35,963 - INFO - Adding file info: FileInfo(name='post-update', extension='.sample', is_directory=False, parent_directory='F:\\git\\.git\\hooks')
2023-08-06 10:41:35,963 - INFO - Adding file info: FileInfo(name='pre-applypatch', extension='.sample', is_directory=False, parent_directory='F:\\git\\.git\\hooks')
2023-08-06 10:41:35,963 - INFO - Adding file info: FileInfo(name='pre-commit', extension='.sample', is_directory=False, parent_directory='F:\\git\\.git\\hooks')
2023-08-06 10:41:35,963 - INFO - Adding file info: FileInfo(name='pre-merge-commit', extension='.sample', is_directory=False, parent_directory='F:\\git\\.git\\hooks')
